E05000056,2013,1909,
E05000056,2018,1992,projection
E05000056,2023,2053,projection
E05000056,2028,2131,projection
E05000057,2001,1661,census
E05000057,2006,1784,
E05000057,2011,1970,census
E05000057,2013,2053,
E05000057,2018,2338,projection
E05000057,2023,2636,projection
E05000057,2028,2758,projection
E05000058,2001,4505,census
E05000058,2006,4511,
E05000058,2011,4776,census
E05000058,2013,4898,
E05000058,2018,5017,projection
E05000058,2023,5077,projection
E05000058,2028,5092,projection
E05000059,2001,1675,census
E05000059,2006,1731,
E05000059,2011,1732,census
E05000059,2013,1830,
E05000059,2018,1989,projection
E05000059,2023,2160,projection
E05000059,2028,2274,projection
E05000060,2001,3505,census
E05000060,2006,3487,
E05000060,2011,3516,census
E05000060,2013,3659,
E05000060,2018,3879,projection
E05000060,2023,3956,projection
E05000060,2028,3967,projection
E05000061,2001,6725,census
E05000061,2006,7266,
E05000061,2011,7673,census
E05000061,2013,7881,
E05000061,2018,8089,projection
E05000061,2023,8228,projection
E05000061,2028,8343,projection
E05000062,2001,4331,census
E05000062,2006,4319,
E05000062,2011,5089,census
E05000062,2013,5360,
E05000062,2018,5877,projection
E05000062,2023,6679,projection
E05000062,2028,7481,projection
E05000063,2001,6047,census
E05000063,2006,6517,
E05000063,2011,6734,census
E05000063,2013,6943,
E05000063,2018,7172,projection
E05000063,2023,7172,projection
E05000063,2028,7230,projection
E05000064,2001,3580,census
E05000064,2006,3600,
E05000064,2011,3632,census
E05000064,2013,3667,
E05000064,2018,3736,projection
E05000064,2023,3806,projection
E05000064,2028,3910,projection
E05000065,2001,3796,census
E05000065,2006,3879,
E05000065,2011,4162,census
E05000065,2013,4240,
E05000065,2018,4354,projection
E05000065,2023,4389,projection
E05000065,2028,4423,projection
E05000066,2001,6200,census
E05000066,2006,6169,
E05000066,2011,6318,census
E05000066,2013,6365,
E05000066,2018,6348,projection
E05000066,2023,6378,projection
E05000066,2028,6407,projection
E05000067,2001,4981,census
E05000067,2006,4982,
E05000067,2011,5220,census
E05000067,2013,5249,
E05000067,2018,5243,projection
E05000067,2023,5267,projection
E05000067,2028,5315,projection
E05000068,2001,5311,census
E05000068,2006,5284,
E05000068,2011,5388,census
E05000068,2013,5399,
E05000068,2018,5388,projection
E05000068,2023,5388,projection
E05000068,2028,5438,projection
E05000069,2001,4095,census
E05000069,2006,4181,
E05000069,2011,4310,census
E05000069,2013,4395,
E05000069,2018,4467,projection
E05000069,2023,4702,projection
E05000069,2028,5153,projection
E05000070,2001,6478,census
E05000070,2006,6627,
E05000070,2011,6813,census
E05000070,2013,6867,
E05000070,2018,6935,projection
E05000070,2023,6995,projection
E05000070,2028,7026,projection
E05000071,2001,2609,census
E05000071,2006,2735,
E05000071,2011,2848,census
E05000071,2013,2933,
E05000071,2018,3087,projection
E05000071,2023,3201,projection
E05000071,2028,3302,projection
E05000072,2001,1439,census
E05000072,2006,1478,
E05000072,2011,1565,census
E05000072,2013,1573,
E05000072,2018,1599,projection
E05000072,2023,1627,projection
E05000072,2028,1648,projection
E05000073,2001,3815,census
E05000073,2006,3846,
E05000073,2011,4017,census
E05000073,2013,4046,
E05000073,2018,4073,projection
E05000073,2023,4146,projection
E05000073,2028,4238,projection
E05000074,2001,4786,census
E05000074,2006,4772,
E05000074,2011,5016,census
E05000074,2013,5047,
E05000074,2018,5062,projection
E05000074,2023,5177,projection
E05000074,2028,5269,projection
E05000075,2001,2862,census
E05000075,2006,3120,
E05000075,2011,3516,census
E05000075,2013,3608,
E05000075,2018,4010,projection
E05000075,2023,4533,projection
E05000075,2028,4794,projection
E05000076,2001,6346,census
E05000076,2006,6318,
E05000076,2011,6496,census
E05000076,2013,6541,
E05000076,2018,6556,projection
E05000076,2023,6616,projection
E05000076,2028,6676,projection
E05000077,2001,4641,census
E05000077,2006,4629,
E05000077,2011,4810,census
E05000077,2013,4834,
E05000077,2018,4852,projection
E05000077,2023,4873,projection
E05000077,2028,4894,projection
E05000078,2001,3715,census
E05000078,2006,3781,
E05000078,2011,4043,census
E05000078,2013,4067,
E05000078,2018,4101,projection
E05000078,2023,4158,projection
E05000078,2028,4216,projection
E05000079,2001,2359,census
E05000079,2006,2503,
E05000079,2011,2606,census
E05000079,2013,2635,
E05000079,2018,2819,projection
E05000079,2023,2943,projection
E05000079,2028,2976,projection
E05000080,2001,5990,census
E05000080,2006,6121,
E05000080,2011,6076,census
E05000080,2013,6103,
E05000080,2018,6104,projection
E05000080,2023,6133,projection
E05000080,2028,6219,projection
E05000081,2001,2281,census
E05000081,2006,2258,
E05000081,2011,2382,census
E05000081,2013,2385,
E05000081,2018,2394,projection
E05000081,2023,2416,projection
E05000081,2028,2461,projection
E05000082,2001,7389,census
E05000082,2006,7503,
E05000082,2011,7700,census
E05000082,2013,7754,
E05000082,2018,7769,projection
E05000082,2023,7803,projection
E05000082,2028,7838,projection
E05000083,2001,3865,census
E05000083,2006,3986,
E05000083,2011,4032,census
E05000083,2013,4058,
E05000083,2018,4087,projection
E05000083,2023,4143,projection
E05000083,2028,4235,projection
E05000084,2001,2703,census
E05000084,2006,2790,
E05000084,2011,3055,census
E05000084,2013,3098,
E05000084,2018,3219,projection
E05000084,2023,3357,projection
E05000084,2028,3533,projection
E05000085,2001,6169,census
E05000085,2006,6102,
E05000085,2011,6850,census
E05000085,2013,7125,
E05000085,2018,8210,projection
E05000085,2023,9108,projection
E05000085,2028,9594,projection
E05000086,2001,4532,census
E05000086,2006,4595,
E05000086,2011,5320,census
E05000086,2013,5382,
E05000086,2018,5488,projection
E05000086,2023,5572,projection
E05000086,2028,5656,projection
E05000087,2001,6968,census
E05000087,2006,6973,
E05000087,2011,7575,census
E05000087,2013,7616,
E05000087,2018,7719,projection
E05000087,2023,7777,projection
E05000087,2028,7864,projection
E05000088,2001,5414,census
E05000088,2006,5336,
E05000088,2011,5871,census
E05000088,2013,5890,
E05000088,2018,6001,projection
E05000088,2023,6088,projection
E05000088,2028,6175,projection
E05000089,2001,8207,census
E05000089,2006,8162,
E05000089,2011,9010,census
E05000089,2013,9183,
E05000089,2018,9664,projection
E05000089,2023,10110,projection
E05000089,2028,10527,projection
E05000090,2001,4588,census
E05000090,2006,4458,
E05000090,2011,5095,census
E05000090,2013,5196,
E05000090,2018,5358,projection
E05000090,2023,5791,projection
E05000090,2028,6148,projection
E05000091,2001,11314,census
E05000091,2006,13957,
E05000091,2011,15534,census
E05000091,2013,15553,
E05000091,2018,15983,projection
E05000091,2023,16566,projection
E05000091,2028,16836,projection
E05000092,2001,9821,census
E05000092,2006,11793,
E05000092,2011,13392,census
E05000092,2013,13401,
E05000092,2018,13481,projection
E05000092,2023,13570,projection
E05000092,2028,13615,projection
E05000093,2001,5439,census
E05000093,2006,4839,
E05000093,2011,5439,census
E05000093,2013,5515,
E05000093,2018,5684,projection
E05000093,2023,5795,projection
E05000093,2028,5907,projection
E05000094,2001,15519,census
E05000094,2006,16414,
E05000094,2011,18114,census
E05000094,2013,18357,
E05000094,2018,18909,projection
E05000094,2023,19121,projection
E05000094,2028,19174,projection
E05000095,2001,9867,census
E05000095,2006,10733,
E05000095,2011,11195,census
E05000095,2013,11325,
E05000095,2018,11554,projection
E05000095,2023,11769,projection
E05000095,2028,11949,projection
E05000096,2001,4646,census
E05000096,2006,4320,
E05000096,2011,4795,census
E05000096,2013,4896,
E05000096,2018,5019,projection
E05000096,2023,5075,projection
E05000096,2028,5168,projection
E05000097,2001,5527,census
E05000097,2006,5473,
E05000097,2011,6511,census
E05000097,2013,6541,
E05000097,2018,6783,projection
E05000097,2023,6972,projection
E05000097,2028,7097,projection
E05000098,2001,8650,census
E05000098,2006,9523,
E05000098,2011,10366,census
E05000098,2013,10359,
E05000098,2018,10669,projection
E05000098,2023,10905,projection
E05000098,2028,10938,projection
E05000099,2001,6606,census
E05000099,2006,6295,
E05000099,2011,7435,census
E05000099,2013,7800,
E05000099,2018,8995,projection
E05000099,2023,9726,projection
E05000099,2028,10043,projection
E05000100,2001,4036,census
E05000100,2006,3908,
E05000100,2011,4197,census
E05000100,2013,4258,
E05000100,2018,4629,projection
E05000100,2023,4888,projection
E05000100,2028,4999,projection
E05000101,2001,5977,census
E05000101,2006,6049,
E05000101,2011,7083,census
E05000101,2013,7117,
E05000101,2018,7271,projection
E05000101,2023,7436,projection
E05000101,2028,7554,projection
E05000102,2001,4403,census
E05000102,2006,4550,
E05000102,2011,5509,census
E05000102,2013,6167,
E05000102,2018,7992,projection
E05000102,2023,10202,projection
E05000102,2028,12178,projection
E05000103,2001,5498,census
E05000103,2006,5372,
E05000103,2011,5972,census
E05000103,2013,5988,
E05000103,2018,6059,projection
E05000103,2023,6145,projection
E05000103,2028,6253,projection
E05000104,2001,7044,census
E05000104,2006,7456,
E05000104,2011,9226,census
E05000104,2013,9619,
E05000104,2018,10379,projection
E05000104,2023,11844,projection
E05000104,2028,12903,projection
E05000105,2001,8527,census
E05000105,2006,8345,
E05000105,2011,10142,census
E05000105,2013,10224,
E05000105,2018,10368,projection
E05000105,2023,10497,projection
E05000105,2028,10626,projection
E05000106,2001,2855,census
E05000106,2006,2951,
E05000106,2011,3122,census
E05000106,2013,3151,
E05000106,2018,3194,projection
E05000106,2023,3255,projection
E05000106,2028,3307,projection
E05000107,2001,1226,census
E05000107,2006,1179,
E05000107,2011,1208,census
E05000107,2013,1228,
E05000107,2018,1256,projection
E05000107,2023,1286,projection
E05000107,2028,1316,projection
E05000108,2001,1703,census
E05000108,2006,1751,
E05000108,2011,1830,census
E05000108,2013,1897,
E05000108,2018,1986,projection
E05000108,2023,2028,projection
E05000108,2028,2070,projection
E05000109,2001,3901,census
E05000109,2006,4170,
E05000109,2011,4547,census
E05000109,2013,4794,
E05000109,2018,5153,projection
E05000109,2023,5597,projection
E05000109,2028,5906,projection
E05000110,2001,1122,census
E05000110,2006,1147,
E05000110,2011,1162,census
E05000110,2013,1173,
E05000110,2018,1198,projection
E05000110,2023,1230,projection
E05000110,2028,1258,projection
E05000111,2001,1413,census
E05000111,2006,1437,
E05000111,2011,1427,census
E05000111,2013,1455,
E05000111,2018,1499,projection
E05000111,2023,1537,projection
E05000111,2028,1571,projection
E05000112,2001,6949,census
E05000112,2006,6879,
E05000112,2011,6905,census
E05000112,2013,6999,
E05000112,2018,7148,projection
E05000112,2023,7214,projection
E05000112,2028,7258,projection
E05000113,2001,4335,census
E05000113,2006,4382,
E05000113,2011,4700,census
E05000113,2013,4787,
E05000113,2018,4989,projection
E05000113,2023,5096,projection
E05000113,2028,5111,projection
E05000114,2001,1103,census
E05000114,2006,1118,
E05000114,2011,1171,census
E05000114,2013,1184,
E05000114,2018,1212,projection
E05000114,2023,1250,projection
E05000114,2028,1288,projection
E05000115,2001,4088,census
E05000115,2006,4114,
E05000115,2011,4278,census
E05000115,2013,4327,
E05000115,2018,4380,projection
E05000115,2023,4443,projection
E05000115,2028,4494,projection
E05000116,2001,4910,census
E05000116,2006,5078,
E05000116,2011,5390,census
E05000116,2013,5541,
E05000116,2018,5740,projection
E05000116,2023,5849,projection
E05000116,2028,6001,projection
E05000117,2001,162,census
E05000117,2006,159,
E05000117,2011,177,census
E05000117,2013,181,
E05000117,2018,200,projection
E05000117,2023,229,projection
E05000117,2028,258,projection
E05000118,2001,2027,census
E05000118,2006,2049,
E05000118,2011,2098,census
E05000118,2013,2116,
E05000118,2018,2134,projection
E05000118,2023,2162,projection
E05000118,2028,2205,projection
E05000119,2001,1381,census
E05000119,2006,1426,
E05000119,2011,1478,census
E05000119,2013,1496,
E05000119,2018,1520,projection
E05000119,2023,1552,projection
E05000119,2028,1585,projection
E05000120,2001,2837,census
E05000120,2006,3010,
E05000120,2011,3078,census
E05000120,2013,3111,
E05000120,2018,3164,projection
E05000120,2023,3241,projection
E05000120,2028,3299,projection
E05000121,2001,4136,census
E05000121,2006,4144,
E05000121,2011,4116,census
E05000121,2013,4176,
E05000121,2018,4239,projection
E05000121,2023,4280,projection
E05000121,2028,4321,projection
E05000122,2001,3548,census
E05000122,2006,3539,
E05000122,2011,3618,census
E05000122,2013,3664,
E05000122,2018,3689,projection
E05000122,2023,3724,projection
E05000122,2028,3783,projection
E05000123,2001,5626,census
E05000123,2006,5755,
E05000123,2011,5896,census
E05000123,2013,5982,
E05000123,2018,6099,projection
E05000123,2023,6200,projection
E05000123,2028,6318,projection
E05000124,2001,3173,census
