New Code	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
E05000074	70500	72000	76500	85000	92000	106000	126998	146000	174500	186000	186000	199000	220000	225250	198000	217498	222500	229500	245750	259498
E05000075	56748	60000	58000	63000	68500	72000	87000	114995	142500	146000	150000	151000	163750	155000	150000	150000	159950	157000	165000	181000
E05000076	70000	70000	78000	90000	98000	119000	127000	154995	178000	190000	199995	211000	235000	230000	206000	225000	225000	235000	243500	280000
E05000077	70000	72500	79000	89000	96000	94000	106000	145500	159995	168000	177000	200000	215000	213000	207000	215000	218000	233000	236000	257500
E05000078	82000	82000	77500	86750	88498	110000	125500	140000	178000	186250	194500	225000	244500	202500	215000	227000	232748	245000	240498	250000
E05000079	58950	59250	63475	75500	75000	78250	87000	107000	126000	140500	154000	155000	163500	164995	159995	160000	160000	155500	164000	204498
E05000080	69998	75000	83500	90000	101000	112000	125000	160000	169995	184000	195000	217500	225000	220000	205000	213750	225000	225000	237500	250000
E05000081	82975	84500	87998	103500	116250	138250	151000	182998	207500	234995	222500	246000	257475	250000	235000	280000	280000	253127	270000	315000
E05000082	69748	72000	81000	92500	96000	116250	130995	158000	186750	199995	200000	210000	238000	240000	206000	226000	220000	238000	236000	280000
E05000083	79950	95750	90250	94995	107000	124998	139000	155000	187000	192000	209000	218748	228000	234630	213500	249500	245500	220000	225750	280000
E05000084	54995	59995	57998	64000	69250	75000	103500	115000	140000	150000	148750	149000	170000	169000	150000	146500	120000	129250	142000	190000
E05000085	65000	68500	74500	79125	91000	105000	134975	153000	175000	191000	189975	215000	225000	220000	202000	242000	240000	210000	227500	249950
E05000086	93875	101000	122250	130000	133200	125000	185000	206250	218750	215000	240000	250000	285000	250000	300000	305000	337500	297500	385000	333000
E05000087	97500	98975	109950	124975	148225	169000	208000	249950	230000	250000	275000	292500	324000	365000	348000	380000	368250	427500	545000	465000
E05000088	73365	77000	94000	108000	107000	133500	156000	181000	186000	235000	244000	250000	256250	270000	275000	286000	300000	300000	315000	306000
E05000089	86250	86500	92000	102000	115000	127000	165000	178975	230000	235250	220000	274500	297500	267500	285000	330000	375000	370000	416000	495000
E05000090	81000	80500	92000	101000	106750	130500	147000	171000	195000	195500	241250	248750	282475	280000	272500	290000	288500	317600	315000	263750
E05000091	66000	61350	64250	73000	79000	109975	120000	140000	167000	178500	185000	195000	230000	223000	180000	205000	223000	240000	257000	305500
E05000092	67450	72000	80000	93000	115000	151500	167750	195000	220000	225000	238000	249950	330000	343975	295000	316250	332000	367000	435000	500000
E05000093	111498	105500	126000	147000	150000	184000	206000	249725	270000	330000	299950	326500	350000	360000	332500	410500	382670	410000	426000	440000
E05000094	76000	85000	89975	116500	125500	169000	185000	215500	220000	231500	249850	276650	315000	345000	293000	299975	340000	382500	385000	444632
E05000095	81750	88000	105000	106663	136500	170500	175000	205000	220000	234000	249950	264000	299950	300000	302000	350000	330000	353125	382500	450000
E05000096	103500	112000	114000	124950	148000	167475	200000	235000	265000	297500	305000	297750	331975	359000	340000	342500	366000	364975	382450	470000
E05000097	87000	92500	105500	120000	131530	165000	164000	206475	217500	214995	246000	267500	277500	285000	290000	297475	316000	307000	284000	350000
E05000098	84500	87000	93500	125000	144950	175000	234159	235000	243000	265000	320000	315000	353000	455000	355000	417500	460000	402500	521000	677500
E05000099	81750	87000	99625	117500	125500	153000	171250	220000	240000	250000	250000	259975	297000	275000	268000	308000	310000	319975	340000	366000
E05000100	59000	64475	70000	71000	78200	95000	109975	135000	160000	165000	175000	188000	241995	220000	198000	180000	204000	232000	220000	249950
E05000101	69250	75000	82500	83000	92500	115000	127000	170000	183750	220000	203500	214500	236500	225000	232250	250000	250000	237750	232750	249950
E05000102	72375	74000	81000	96500	98950	102500	148000	179950	220000	226500	245000	247250	260000	236800	226000	238750	265000	246000	275000	322500
E05000103	76500	78750	87250	89000	93200	127500	136000	160000	162000	190000	215000	225000	260000	247250	250000	268000	250000	247500	250000	292475
E05000104	73000	75000	81500	82000	87000	103500	139750	156500	186000	193000	220000	202500	250000	241500	250000	235000	250000	250000	237500	250000
E05000105	63500	73000	77250	88000	98000	127000	140000	175000	200000	206000	212500	240000	279995	250000	233000	250000	250000	300000	305000	409500
E05000106	115000	120500	118950	130750	151000	180500	200000	245000	281000	282000	305000	310000	339034	353500	335000	355000	380000	350000	362000	480000
E05000107	81500	81975	87000	99995	120250	129248	148000	169998	188000	215000	221000	227500	247000	245000	227000	250000	246000	244000	265000	269950
E05000108	86650	80000	94500	105000	123000	142000	155000	177000	225000	230000	235000	249950	275000	263500	248000	272750	293750	275000	290000	350000
E05000109	76750	82950	86350	99950	120000	140975	152000	184950	200000	227495	226500	239397	250000	250000	236000	250000	250000	258000	267500	327000
E05000110	96000	95000	107000	120000	135000	167000	199498	211000	223625	249997	249995	273225	290000	280000	267500	285000	294500	295000	315000	400000
E05000111	102000	107500	116500	126500	153000	175000	185000	213750	249995	267000	265000	288500	336000	314900	345000	335607	349995	363000	350000	395000
E05000112	74000	75000	82000	89950	98000	124950	133500	162750	185000	201000	217000	213000	245000	245000	228000	250000	250000	250000	284998	308750
E05000113	76725	79450	77250	88000	95000	119973	140000	159995	183000	205875	200500	227250	240000	230750	220000	242000	247000	248000	260000	315000
E05000114	67250	69950	72750	79973	87748	99000	110000	127995	152500	173500	175000	172500	195000	200000	179998	186750	200000	191500	212500	242000
E05000115	67750	71000	78000	89995	92900	110000	123000	135000	162750	180000	182500	183500	210000	200000	181500	205500	200000	204995	213500	250000
E05000116	59750	65000	64950	68000	71000	84000	93000	121000	139675	149950	155250	176000	200500	195000	186000	199950	195000	185000	231250	250000
E05000117	91000	122000	141000	142000	195000	207000	206500	249950	266000	295000	305000	327000	309973	300000	315000	321500	355000	407500	359950	445000
E05000118	93750	100500	104000	121000	137875	154950	178000	195000	235000	265000	250000	260000	307500	284000	255000	297498	310000	297475	336500	395000
E05000119	94000	99250	120000	131500	151000	179995	195000	228500	250000	265000	282000	300500	325000	322500	308500	334000	333250	366750	360000	441250
E05000120	88000	92150	106250	123000	139000	178000	198500	225000	250000	280000	276250	302500	329000	312000	290000	328500	330000	331000	382500	421599
E05000121	65000	63000	66000	73250	77500	94000	109250	129950	150000	162500	170000	175000	199998	200000	184650	210000	185500	201500	219000	250000
E05000122	90500	94000	111000	114500	134750	159995	161000	192000	220000	229000	248998	240000	278000	275000	227000	250000	250000	260500	290000	340000
E05000123	71500	72000	79950	87750	90000	92000	114998	139995	170000	169995	185000	210000	228000	210000	215000	236475	250000	271000	289950	320000
E05000124	106750	121500	135750	146250	173500	199950	215000	244500	262500	295000	310500	327500	360000	345000	329500	379975	423000	405000	417500	485000
E05000125	74000	75500	85000	98000	103000	132500	142250	161000	185000	200000	214750	228500	249995	235000	235000	245000	250000	250000	268000	295444
E05000126	132250	130500	96500	113950	132500	160000	169500	198500	224000	241000	249999	258000	276000	302500	295000	322500	325000	277500	348750	468000
E05000127	108000	109250	127725	142000	156725	185000	215000	249000	250000	286000	307500	329975	359950	295000	322250	363000	370000	390000	400000	475000
E05000128	138975	156000	184500	191250	245000	282000	315000	339125	354000	365000	416250	430000	495000	499000	560000	572500	650000	700000	825000	850000
E05000129	85500	102500	115000	124350	151000	199000	203500	240000	205000	242500	257500	301500	339950	565000	345000	349975	365000	448500	537250	560000
E05000130	155000	145000	170000	185000	230500	288750	285000	349500	288750	365000	357500	385000	472500	505000	426250	640000	615000	618000	695000	813500
