New Code	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
E05009369	87250	93500	97000	120000	142000	155000	199950	209975	222000	235000	249000	246500	269995	355000	300000	365000	334700	399998	405000	477500
E05009370	69995	70000	82600	95000	113000	125000	164000	199995	207625	223750	215000	249145	280000	265000	290000	318500	315000	368500	400000	532500
E05009371	136500	135000	122750	150000	173000	161750	240000	190000	227998	250000	281500	330000	339950	310000	337000	378500	382500	340000	417500	499475
E05009372	77000	72000	75748	90500	102000	121000	155750	175000	183000	212000	214500	247875	250000	250000	248000	271250	315000	325000	387500	450000
E05009373	71000	70000	85000	89475	90000	123000	145000	160000	174000	204500	188000	210000	249995	250000	245000	272500	275000	322500	340000	433000
E05009374	71998	82250	79250	90500	91000	113500	130000	140000	170000	185000	184000	218500	245000	235000	208500	247225	270000	321000	285000	340000
E05009375	66000	66000	79000	87750	95000	115000	170000	179975	175000	186000	190000	245000	250000	250000	260000	317500	277500	325000	345000	425000
E05009376	62500	60000	73000	82500	99000	105000	132000	140000	174000	182000	163000	185000	215000	210000	195000	237000	216250	249995	250000	398000
E05009377	72500	81750	80000	77000	130000	215000	240000	260000	270000	295000	250000	290000	375000	303000	365000	275000	363500	385000	445000	517500
E05009378	74498	80375	75000	111000	160000	171000	190000	262500	196500	193500	220000	254000	260000	330000	356500	301875	320000	351000	420000	482000
E05009379	63750	72500	80000	87500	124500	126000	125000	160000	198000	220000	194000	239950	260000	250000	305000	317500	340000	271000	423000	405000
E05009380	78000	80000	83998	90000	111000	119000	157500	175000	185000	196740	224000	225000	230000	230000	178837	226250	260000	307750	334000	380000
E05009381	87000	97000	105000	111500	126000	145000	195000	190750	230000	226643	234995	245000	275000	285000	290000	285000	345000	362500	366000	477500
E05009382	68500	85000	97995	82050	113250	141475	153500	171000	204250	210000	200000	246750	278500	250000	250000	250000	281500	301250	376000	447450
E05009383	88500	80000	81000	89500	125000	119950	125000	159000	170000	203500	212000	208000	229123	240000	235000	250000	224000	301250	250000	300000
E05009384	72000	79000	85000	89998	120000	121500	138500	186000	209250	190000	230000	211000	265000	293000	231000	252500	250000	305000	333250	400000
E05009385	96500	97750	105000	120875	140000	195000	219000	249950	249995	249950	256500	280000	380000	332500	366250	362500	417500	465000	450000	499975
E05009386	64000	76000	84975	86000	113750	134000	155000	185000	203000	221000	206750	248000	293500	265000	250000	323000	320500	345000	392250	492500
E05009387	90500	75000	79950	74000	99000	126000	131500	130000	160000	150000	170000	216750	213500	223000	230000	215000	230000	308700	280000	345000
E05000250	98000	104000	114950	124000	157000	195000	216750	237750	235000	250000	268000	292062	371157	376500	351500	422000	378250	410000	535000	572500
E05000251	88495	87000	104500	125000	155000	185000	201000	219500	235000	237000	249950	290000	322500	320000	320000	355000	360000	360000	390000	500000
E05000252	104500	112750	139850	162000	165000	199950	220000	245000	249950	270000	260000	305000	361250	370000	390000	425000	432500	437500	475000	618250
E05000253	77500	76000	90000	107500	115000	160000	173500	193000	225000	239000	246500	240000	316875	300000	267500	291000	273500	320000	349000	458000
E05000254	129475	127050	151750	165000	210000	230000	249950	300000	312000	320500	330000	365000	427500	450000	440000	500000	499950	490000	575000	805000
E05000255	132000	140800	145000	170000	207725	245000	257000	269750	285000	295000	325000	340000	398000	425000	451000	475000	450000	470000	500000	786250
E05000256	100000	130250	140000	166150	190000	208000	249300	270000	289000	288000	329125	299976	356250	352500	380000	468000	390000	475000	595000	741250
E05000257	133000	150000	158125	195000	220000	240000	260000	304250	314500	326000	370000	428000	475000	540000	515000	587500	535000	650000	640000	745000
E05000258	94750	99750	122000	135000	157000	190000	197000	237500	240000	248000	249999	280918	370250	351250	335000	370000	395000	380000	445950	558000
E05000259	147000	152000	165000	195000	231000	270000	320000	315200	328750	382500	387500	470000	500000	540000	590000	527500	598750	710000	727500	950000
E05000260	190000	220000	202500	231000	303500	330000	370000	417500	465000	490000	537000	550000	652500	620000	785000	750500	1125000	950000	995000	1330000
E05000261	136750	142125	165500	200000	230000	288750	235000	342500	361250	415000	417500	399950	420000	485000	497000	492500	603225	585000	575000	704000
E05000262	155000	163807	189000	225000	250000	250000	299950	320000	424975	414975	475000	475000	499950	680000	530000	450000	512000	586500	740000	827750
E05000263	91500	98000	106500	121875	165000	185000	210000	231000	240000	250000	239975	307000	336100	335000	325000	335000	322500	381000	440000	440000
E05000264	134250	137000	176750	188225	221000	245000	270000	286750	300000	326500	367500	415000	453051	430000	455000	605000	468000	566000	712500	690000
E05000265	89000	90875	120500	131000	152000	200000	220000	244000	243000	249250	293000	293250	349000	349250	330000	376756	375000	454300	402500	427500
E05000266	115000	120000	125000	151500	160000	210000	217750	249000	291500	267750	311500	367000	390000	439500	380000	430000	497500	402000	543500	625000
E05000267	71000	72000	81000	85750	93500	110000	135000	170000	189950	186000	211000	197750	240000	241150	215000	250000	295000	249100	252000	332350
E05000268	64000	65000	74000	76750	82500	100000	114000	131000	150000	165000	190000	195000	224998	220000	220000	223000	220486	216500	250000	325000
E05000269	101000	111000	123000	140000	165000	191000	216357	261250	250000	295000	268000	310000	358475	402500	341000	400000	420000	425000	474400	563750
E05000270	105000	113750	128750	129475	140000	200000	199475	225000	248250	275000	285000	320000	377000	295000	282000	359500	400000	450000	425000	465000
E05000271	69250	73250	81000	89950	105000	130000	145000	180000	190000	200000	210000	240000	284500	265000	250000	285000	305000	342500	351399	430000
E05000272	124125	124000	138000	145000	173000	220000	245000	272000	250000	307500	319175	350000	420000	415000	454500	438250	465000	410000	550000	732500
E05000273	79000	89950	90000	110000	135000	159000	179850	205000	214250	239000	243000	238000	295000	297500	282250	310000	307500	347047	350000	419000
E05000274	135000	128000	135000	175000	185000	230000	262500	285000	318500	272500	325000	376250	499997	390000	560000	425000	570000	450500	700000	820000
E05000275	65750	68625	80000	85750	94000	125000	141500	160000	182500	201000	206000	220000	250000	270000	230000	250000	250000	252000	290000	350000
E05000276	62000	63500	70000	71750	79500	94000	100500	120250	136000	150000	171500	175000	190000	195000	175000	197250	183000	185000	185000	252500
E05000277	65875	68000	73000	79998	85000	115000	129950	155250	175000	175000	198250	220000	235750	232500	235000	240000	249973	275000	309000	370000
E05000278	65500	66500	77500	86000	95000	115000	130000	171000	180000	203500	230000	227150	245000	250000	215000	243000	279950	247975	333500	372500
E05000279	83000	86750	89950	117000	133750	158625	172000	202375	222000	220000	239500	262500	318000	345000	310000	342000	325000	349000	387550	477500
E05000280	60000	62950	69995	75000	79750	95000	122500	131995	160000	170750	169500	175000	230000	210000	208250	190000	211000	227000	250000	326500
E05000281	59248	58000	64000	71500	78000	92000	107750	125000	150000	160000	150000	185000	207500	200000	182000	200000	200000	216016	230000	251500
E05000282	68000	75500	79934	80000	102250	120000	134475	172000	180000	190500	209000	210500	265000	249995	250000	265000	296000	279050	281500	350000
E05000283	60000	62000	69000	77150	80000	98500	119500	131500	160000	169000	175000	187500	208000	220000	190000	215000	216000	225000	230000	267000
E05000284	70000	69500	74500	85000	96000	127875	136000	164998	178000	182000	216000	224000	249000	249500	240000	247750	270000	257000	266500	345000
E05000285	90000	93000	115995	130000	150000	172000	190000	238000	261500	279975	284975	300000	339975	322500	297475	370000	367500	370000	380000	435000
E05000286	95500	93000	120000	147500	142500	167975	181000	225000	250000	295000	313500	350000	358750	311000	315000	305000	301250	355500	360000	402500
E05000287	79000	81000	95000	100000	119500	148000	163000	190000	230000	249950	245000	250000	275500	270500	250000	280000	275000	300000	326250	357500
E05000288	72100	74250	81875	90000	112000	120000	157800	162000	188000	205000	208975	207500	223275	241000	230000	233500	235000	235000	250000	272000
E05000289	86000	89000	102000	110000	133975	141000	170000	196500	221000	231500	250000	270000	280000	267000	250000	289000	295000	278000	313750	343000
E05000290	92500	84000	96500	105000	119950	137250	160500	187000	230000	245000	248000	249725	280000	258500	280000	315000	277998	335000	311250	384000
E05000291	120650	129750	141750	149500	159000	205000	182000	242000	270000	247000	355000	352000	335000	317500	291500	385000	368500	295000	440000	500000
E05000292	104371	112250	130000	141000	159000	185000	220000	249950	280000	280000	291000	310000	345000	360000	302000	390000	365000	377000	399975	427500
E05000293	81750	84000	92000	104500	122500	132950	152613	173500	215000	206000	235000	263750	237000	265000	250000	253500	272500	239725	264250	322500
E05000294	75000	79725	92348	103000	118000	150000	164000	199000	237250	249000	249000	249475	275000	250000	250000	300000	297500	307500	305000	380000
E05000295	87000	90000	112750	125000	134950	165500	185500	226000	250000	266250	270000	294950	332500	331500	307000	337500	320000	352000	375000	434475
E05000296	68750	69000	78475	86000	103000	119950	129000	155000	177000	195000	215500	220000	240800	240500	240000	210000	235000	243000	275000	268950
E05000297	95425	103500	110000	128000	140000	165000	185000	210500	238750	250000	275000	293125	311500	310750	302000	320000	476000	385000	340000	400000
E05000298	118500	122388	133500	154500	165000	235000	229950	250000	311000	305000	321000	336000	395000	350000	351000	416750	400000	436000	470000	520000
E05000299	78750	79750	93000	109500	119000	145000	160000	185000	229950	240000	240000	249950	265000	305500	250000	272050	283000	314975	332250	390000
E05000300	85000	85500	104450	113000	129000	154000	166800	204975	239500	250000	249950	250000	294000	285000	277000	306000	313500	314000	335000	380000
E05000301	71000	74000	83400	91000	105000	126250	139500	173000	182000	206000	225000	220000	245000	200000	187000	230000	225500	224995	235000	290000
E05000302	78000	80000	92000	103000	108000	134000	156000	184000	210000	231233	240000	244975	250000	250000	242000	279000	250000	264750	292750	355000
E05000303	114000	141250	137000	142000	180000	195000	214500	287950	305000	325000	270000	334000	345000	373000	320000	322500	347500	340000	405500	555000
E05000304	73500	75000	86250	93000	104000	118975	145000	168500	196000	215000	224500	230000	246250	248500	237325	249950	250000	250000	249950	310000
E05000305	81618	86500	102000	109750	116000	151500	162500	193500	227000	242000	247500	261500	305000	273000	271000	320000	315000	324000	352000	363500
E05000306	64998	63000	70000	75000	83000	96748	111000	135000	162995	177500	182000	189995	207748	213475	174498	208000	201000	172998	187000	207500
E05000307	87000	88000	91995	111000	117000	134750	152500	173500	199995	215500	230000	241250	250000	250000	230000	248000	258500	270000	282500	320000
E05000308	66600	67000	75000	82000	86000	103000	117750	139995	169995	188250	193000	194000	220000	225000	187500	207750	200000	212000	225000	250000
E05000309	94000	112000	112750	127500	159995	165000	173000	212500	242000	265000	275000	290000	295000	318000	270000	324998	310000	295000	340000	365000
E05000310	58000	57500	62995	68000	69998	82500	92000	110000	137250	148000	158000	162995	185000	189000	159500	164998	168000	175000	183998	229000
E05000311	78000	79750	87500	93500	99998	120000	138000	162000	200000	209998	225000	234995	249995	245000	225000	242500	250000	250000	265000	296500
E05000312	73000	72750	76500	80750	85250	110000	126000	141000	165000	175050	182000	198500	215000	220000	196000	220000	214000	220000	227625	250000
E05000313	65500	70000	77000	81000	87500	110000	119000	144000	172000	190000	193000	190000	225000	232250	187500	218000	208000	203650	220000	250000
E05000314	56750	56500	62000	69000	69000	81750	88500	115000	139000	152995	154000	164000	177950	180000	160000	173500	165000	170000	189998	217000
E05000315	77750	83000	88000	91000	109000	130000	142000	176000	198000	210000	222500	234998	248000	250000	225975	250000	235000	243000	250000	275000
E05000316	65000	69748	74000	80000	85000	105000	114000	137750	169000	180000	185000	196500	220000	212000	190000	210000	199000	210000	224000	250000
E05000317	85000	89750	100500	107000	123000	135000	153500	182748	232000	229000	230000	235000	260000	265000	248650	260000	250000	255000	265500	295000
E05000318	64500	65250	67500	77000	80000	91500	107000	127500	162500	175000	174000	189000	208000	212000	188750	194500	195000	200500	199998	240000
E05000319	67000	67000	72998	76500	85000	93000	114000	135000	157500	171050	179995	185000	195000	191000	174500	185000	201200	206000	208000	225000
E05000320	78000	75000	86525	91500	103500	114950	129950	163000	190000	209000	215498	213000	240000	220000	225000	235000	233500	242500	240000	272500
E05000321	60000	64950	69500	77000	81000	105498	118000	130000	165000	179995	177000	191750	210000	210000	180000	192000	187500	199998	203000	242000
E05000322	82000	85800	94000	101000	109000	126250	140000	145421	169995	193000	223500	233498	240000	212000	215000	249999	249250	239998	250000	280250
E05000323	101750	107500	112500	137000	152000	159995	203500	225000	269000	265000	305000	305000	349000	310000	325000	370000	345000	365000	382000	420000
E05000324	67250	69000	75000	82975	90000	117750	129950	160500	184975	200000	205000	212000	235000	242500	210500	224250	225000	242000	249000	250000
E05000325	67000	65500	74000	82000	89000	116000	129950	157000	184000	200000	196000	215000	234250	235000	211000	215500	190000	210000	240000	250000
E05000326	76000	75000	82725	90000	105500	128500	139973	165000	193000	210000	209000	218000	230000	245000	220000	230000	226750	235000	245000	273750
E05000327	86500	91500	109500	115000	137500	151000	176000	198500	225000	247000	250000	263500	305000	278000	264250	284975	320000	317500	320000	400000
E05000328	68000	70500	76500	84950	99500	117000	134950	162500	190000	205000	217000	223975	232000	242000	220000	245000	220500	247500	250000	275000
E05000329	122550	131000	150000	174500	178725	220000	245000	285000	315000	335000	349975	362500	395000	377500	350000	385000	399998	423000	452500	500000
E05000330	79250	83750	114000	108250	115000	139000	153080	179000	210000	216750	220000	228750	248000	245000	245000	241500	243000	250000	265000	310000
E05000331	68000	69000	69975	70000	81000	90750	110000	137500	145000	175000	166725	174500	194000	203500	175000	240000	230000	210000	211000	209000
E05000332	73375	73750	86000	96500	102975	128650	138000	172000	194500	215000	215000	230000	248750	247500	220000	250000	249225	250000	270000	311000
E05000333	127000	130000	145750	165000	184500	229975	249500	280000	319975	337000	355000	365000	400000	371000	342500	399975	389500	397975	433000	521000
E05000334	81000	84000	94950	108000	118500	140000	155000	184950	211000	225500	231500	249975	272500	270000	247500	269950	275000	284999	316000	372500
E05000335	100000	116000	118250	127725	139950	167615	195000	224950	258750	249950	314000	315500	325000	300500	320000	318500	345000	328000	372400	470000
E05000336	96500	98500	116000	113500	126000	171500	167500	211000	229975	227500	250000	275000	305000	310000	296250	320000	356000	347500	373975	413500
E05000337	65000	67000	77000	83000	94950	120000	135000	150000	192250	210000	210000	212750	235000	247725	225000	228000	233000	242500	245000	280000
E05000338	75000	79000	88250	100000	104000	123000	149950	165000	189473	207000	220000	227500	250000	250000	231750	250000	250000	270000	287250	305000
E05000339	69000	67000	75000	82375	87000	107000	125000	157100	178000	196500	205000	213000	230000	230000	213500	235000	250000	250000	229950	280000
E05000340	95000	98000	98375	106000	138950	145000	179750	195000	227000	248000	245500	250000	298475	249950	225000	249950	235000	231000	295000	349950
E05000341	78000	77625	79000	90000	100000	119950	123000	143850	171000	185000	179375	210000	221000	223000	180000	191250	198500	230000	225000	259000
E05000342	73000	74000	77475	85000	94475	119000	128500	162000	175500	185000	196025	214000	215000	222705	200000	220000	220000	241000	242995	249997
E05000343	83500	88500	94000	116000	127000	147250	169975	180000	214975	220000	237000	250000	270000	250000	234000	282000	305000	315000	309995	335000
E05000344	67000	68000	72000	84950	96750	88500	118975	139725	165000	183000	205000	203000	214500	225000	206000	218000	220000	215250	225000	250000
E05000345	65000	67000	70000	73475	81000	86500	115250	128000	145000	156000	173750	194000	212750	208500	188000	205000	218250	205000	210000	225000
E05000346	68000	64000	71950	79950	85000	104250	117500	139000	162500	178500	178500	187000	212257	220500	195000	216500	200000	181000	226500	229000
E05000347	81000	80000	88500	126875	128500	159770	174950	245000	245000	240000	247000	249999	299725	292500	250000	279950	290000	338500	292000	370000
E05000348	150000	158975	160000	196500	250000	265000	320000	338750	333500	340000	380000	449725	500000	481250	446250	578750	599975	672500	747500	772500
E05000349	124225	140000	135000	182250	205000	245000	249950	302500	320000	315625	315000	400000	443750	440000	530000	495000	500000	462500	575000	650000
E05000350	68000	72000	73000	85000	95500	114250	130750	143000	195000	205000	227500	220000	249000	249650	225000	243000	248000	249000	250000	226500
E05000351	65000	67750	72000	83000	90000	110000	124000	148000	168250	180000	190000	198000	225000	225000	210500	225500	219250	225000	240000	270000
E05000352	72950	64000	67000	78000	85000	107000	119950	139000	159950	175000	180000	193306	220998	220000	186500	202000	196000	205000	210000	225000
E05000353	65000	66000	73000	87225	92375	110000	120000	138000	164000	175000	180000	192375	220250	217950	196000	202000	205000	222500	228500	250000
E05000354	69000	70000	74950	75500	91750	114950	119500	144000	165000	170000	183000	194450	223500	203000	196750	213625	225500	205000	234950	250000
E05000355	74500	75250	86500	89700	104950	120000	157500	176950	209500	222000	235000	230000	264000	250000	249500	265000	262500	250000	250000	348000
E05000356	69300	79800	80000	91000	114000	123500	151500	169000	190000	195000	220000	225000	249950	250000	250000	249950	250000	249750	275000	248000
E05000357	76750	75000	80000	91750	105000	125000	134500	175000	206500	204000	203996	235000	245500	240000	240000	235000	180000	245000	270000	280000
E05000358	68000	70000	80000	90995	110000	127500	137500	169500	192500	200000	215000	240000	249950	229000	213975	226000	239500	231125	242500	249950
E05000359	67500	70935	80000	84475	95000	112500	134500	161995	188000	191000	197748	223750	221000	220000	237500	227250	205500	226500	240000	249950
E05000360	80000	80750	95000	111500	125000	149950	171500	192000	224500	235000	245000	250000	297725	286250	250000	275000	277000	302500	330000	375000
E05000361	70000	71500	77300	86150	98500	120000	140500	148500	199975	207500	211000	225000	218500	225000	175000	230000	239000	245000	242500	270000
E05000362	75000	76950	82500	97000	119975	133000	147500	178000	203000	199475	215000	237500	249950	235500	240000	250000	246250	257500	315000	301000
E05000363	84500	88500	85975	121500	126225	141250	172000	199950	200000	274500	246000	265500	299975	270000	237475	250000	297475	400000	372500	345500
E05000364	79750	83000	92250	105500	125000	150000	183000	224950	250000	250000	258000	263000	285000	260996	244000	245000	286750	276000	320000	365000
E05000365	105950	110050	137750	145000	177250	241000	249250	288000	277500	280000	300000	315000	425000	475000	437500	470000	375000	442500	499998	634000
E05000366	103000	123000	140000	147950	204000	240000	247000	250000	292500	286250	320000	375000	391250	425000	400000	470000	430000	523500	495000	715000
E05000367	102450	143000	170000	190000	188750	245000	250000	290000	300000	295750	312500	340000	430000	405000	385000	450000	445000	480000	610000	640000
E05000368	120000	127500	129999	158000	159000	164995	180000	220000	223250	240250	250000	260000	285000	330000	314248	345000	345000	361000	499999	447500
E05000369	113000	128500	127376	155000	167750	200000	220000	234100	250000	289000	279950	317500	370000	340000	345000	400500	403000	482500	499999	550000
E05000370	150000	135000	180000	195000	230000	240000	287500	302750	295000	320000	330000	360000	460000	420575	482500	485500	455000	573475	640000	732500
E05000371	78000	97250	112245	115500	154950	181450	178000	210500	205000	236250	228500	246000	283500	288750	250000	280000	315000	273950	360000	410000
E05000372	120000	127000	138000	153000	189000	197500	245000	248875	245000	280000	300000	377500	415000	383500	366500	442500	446500	499950	540000	667500
E05000373	107000	107500	129975	149000	170000	250000	227000	249995	245000	277500	301000	310000	350000	360000	353750	375000	400000	400000	469500	500000
E05000374	93250	108000	112850	125000	154000	175000	185000	210000	191000	222000	250000	250000	299995	317500	315000	355000	375000	371000	380000	447500
E05000375	75750	80000	90500	99950	125000	159475	165000	189500	215000	217500	242500	277750	312500	285000	265000	283350	328500	364950	390000	405000
E05000376	92000	84975	108475	131950	147000	166250	185000	200000	205000	232500	236000	249000	290000	285000	275000	315000	334975	375000	394240	452000
E05000377	90000	90500	102750	120000	155000	185000	205000	225000	210000	239975	249000	265000	330000	325000	300000	333750	372500	368750	405125	525000
E05000378	88691	88750	96500	114995	134998	181500	187750	213500	226750	230500	240000	250000	299995	308500	280500	338750	345000	358750	405000	495645
E05000379	125000	121000	152000	184500	195000	249950	249000	266500	293750	285000	349000	376970	427555	407500	390000	499950	523500	530000	610500	650000
E05000380	152875	170000	152500	182500	227500	265000	258500	330000	325000	292000	374750	399950	409975	400000	397475	575000	502500	460375	595500	667500
E05000381	80000	83000	95000	98000	130000	135000	166500	192250	195000	201250	225000	249500	273000	320000	297500	320000	340000	333000	345000	465000
E05009388	217500	247000	250000	306500	360000	415000	382500	395000	379000	494999	422500	500000	762500	681500	735000	805339	895000	1080000	1337500	1250000
E05009389	220000	250000	291250	270000	360000	410000	399975	420000	435000	440250	542500	660000	758000	772500	750000	870000	1175000	1175000	1797500	1722500
E05009390	265000	232000	292500	325000	383750	450000	480000	490888	500000	685000	735000	780000	885000	915000	1000000	902000	1112500	1350000	1475000	1500000
E05009391	163000	177000	214000	245000	249900	310000	330000	372500	391000	415000	418000	499725	607500	540000	650125	725000	732500	780000	717500	1100000
E05009392	140000	167250	180000	187000	248000	275000	317000	385000	355000	385000	365000	480000	585000	590000	527500	683050	682500	860900	750000	970000
E05009393	200000	232500	285000	324000	337500	400000	417000	447500	445000	525000	535000	610000	760000	818750	786500	875000	960000	1132500	1275000	1350000
E05009394	112000	120000	130000	141475	225000	177000	225000	250000	249500	270000	290000	357500	300975	308750	425500	482500	475000	520000	496250	600000
E05009395	132000	135250	159975	168521	210000	240000	284500	318000	300000	335000	336500	410000	425000	465000	482000	600000	550000	694975	738000	815000
E05009396	85000	83000	107000	118500	145000	200000	187000	221500	248000	231500	250000	290000	350000	367500	320500	249950	385250	402500	482500	533800
E05009397	199000	226000	232500	220000	280000	349950	369950	415000	435000	450000	465000	497750	600000	680000	610000	651000	737500	735000	995000	1310000
E05009398	179950	200000	238750	255000	280000	300000	362500	390000	390000	541250	455000	633500	720000	1210000	723501	1305000	625000	1130000	1150000	1750000
E05009399	103500	107500	145000	133500	156000	190000	173666	226500	218750	295000	282500	309975	340000	317500	487500	581130	600000	443700	457500	495000
E05009400	155125	174500	203000	215000	280000	275526	345000	375000	362500	400000	420000	499975	685000	665000	550000	722500	815000	880000	972500	1106000
E05009401	217250	278400	306250	266000	304500	400000	475000	515000	500000	550000	565000	610000	765000	825000	897500	900000	997500	1218050	1425000	1775000
E05009402	180000	190000	230000	249970	265000	340000	386500	387500	405000	440000	460000	525000	602500	711000	647500	697500	686000	760000	905500	1000000
E05009403	227000	266250	300000	325000	325000	390000	447000	500000	499000	620000	595000	582500	742944	895050	865000	1155000	986250	1297500	1495000	1825000
E05009404	105000	128500	154500	169350	199000	233000	230000	279975	248500	315000	330000	363000	530000	450000	460000	550000	499000	642250	750000	710000
E05009405	180000	205000	210000	250000	284500	370000	372500	401500	500000	425000	575000	600000	635000	720000	757500	750000	900000	845000	890000	1160000
E05000400	90000	83250	87250	112500	126000	140000	178000	201000	209975	237000	238000	259000	312500	285000	245000	340000	327000	345000	387500	404975
E05000401	73625	81000	95000	99500	122500	139500	157000	193000	207250	215000	230000	243000	285000	266250	250000	300000	292500	320000	315000	361125
E05000402	87000	88500	97350	113000	128975	144500	170000	209975	213000	235000	239500	250000	305000	300000	290000	318500	310000	347500	356000	435000
E05000403	87500	97000	111000	147500	151500	175000	208750	235000	249995	274950	274000	290000	308998	317500	320000	405000	339325	398250	400000	449500
E05000404	75250	77975	85000	99000	111000	129000	142000	170256	187000	210000	210000	220000	249950	249950	236250	242750	248000	250000	267500	310000
E05000405	81950	77500	79950	91250	117000	131950	152500	167975	185500	199975	205000	215000	244950	242500	218000	235000	249950	240000	250000	315000
E05000406	125000	155000	110995	127000	191475	195000	172500	245000	223000	328250	275000	347000	397000	391500	500000	465000	480000	500000	600000	480000
E05000407	104000	110500	125250	135500	152500	174000	202000	214975	230000	250000	280500	325000	341000	346750	329975	339975	359000	405000	435000	480000
E05000408	81750	86995	99000	112950	130000	172500	179950	226500	216750	235000	241100	260000	294000	310000	297500	300051	305000	342500	330000	400000
E05000409	78125	84975	82000	95000	115000	139475	145000	173500	205000	207000	230000	230000	271000	271000	250000	283500	285500	270000	307500	341750
E05000410	104750	107000	116000	123000	124000	158500	170500	230000	249950	232000	266750	290000	326250	287500	303000	362500	370000	355000	350000	395725
E05000411	94000	104950	110000	141500	155000	181475	199475	222000	245000	246500	274000	300000	355000	315000	305000	330500	335000	335950	390000	443568
E05000412	75000	74950	82000	92975	125475	146000	150000	185000	205000	219475	222500	235000	280000	286000	243500	277500	291000	322500	329000	395350
E05000413	75000	82500	88000	101500	124250	145500	163000	180000	203000	230750	225000	241750	268975	283500	250000	285000	270000	282000	325000	396770
E05000414	77000	79000	89950	102000	110750	137000	150000	170000	197000	210000	217000	234850	260000	250000	235000	250000	250000	270000	304995	337195
E05000415	119000	124000	142500	144600	169500	213500	229000	245000	275000	285000	297500	345000	387500	405000	377500	399950	440500	437000	534623	550000
E05000416	138000	160000	154500	211000	235000	225000	250000	300000	296125	282500	288000	315000	368725	331500	387500	434000	402500	402500	485000	590000
E05000417	67113	73000	85500	99000	119000	146500	172000	187750	195000	210000	220000	240000	284975	260000	248000	272426	284000	310000	351500	420000
E05000418	115000	115000	139950	163500	184950	240000	253500	285000	288000	300000	335000	350000	385000	391000	391000	436000	455000	465000	545500	620000
E05000419	89000	91750	115000	130000	167500	197500	230000	240000	242000	250000	275000	290000	383750	362750	355250	375000	354508	415000	460000	610000
E05000420	69950	70000	87450	95000	120000	154500	144500	175475	180000	210000	229000	216975	245000	249997	250000	250000	270000	300000	339000	435000
E05000421	71500	78000	98000	124975	140000	187500	206750	225000	226750	245000	250000	270000	320000	315000	295000	315000	333860	347500	403250	497475
E05000422	65000	71000	75000	77000	84000	99500	125000	148000	165000	185000	180000	202000	242000	235000	230000	245000	246000	268750	287475	350000
E05000423	77500	80850	86000	96000	120000	132000	169000	190000	196000	210500	228500	216250	280000	288000	265000	295000	330000	339950	381985	432500
E05000424	69250	74975	83000	79975	90000	110000	137500	160000	175000	190000	185000	207000	240000	250000	219750	250000	246000	255000	285000	355000
E05000425	78950	81000	92000	118950	135000	183000	184000	203000	201500	230000	240050	250000	282750	272500	269000	279000	335000	330000	364500	430000
E05000426	72000	80000	85000	115000	135000	215000	219950	240000	302805	225500	326902	273000	302000	354950	280000	350000	360000	345000	550000	699995
E05000427	103500	104250	144000	126000	155000	182000	290000	320000	235500	300000	249950	293000	349975	330000	325000	333750	356250	415000	448750	495000
E05000428	67375	79975	78000	83500	96000	123000	138000	159000	180000	205000	196500	225950	250000	230000	245000	250000	245998	250000	286000	340000
E05000429	89995	85000	86000	115500	127500	139000	190000	185999	188000	198355	199500	229950	271000	250000	250000	271250	331500	262475	306785	391375
E05000430	79800	78000	88000	89000	98000	125500	140000	173000	170000	204500	200000	230000	259363	245000	241000	280000	261250	292500	310000	359000
E05000431	68000	65000	84000	90000	105000	127500	143000	172000	197250	217500	225000	227000	256000	260000	235000	250000	242000	268000	285000	375000
E05000432	73500	75000	79500	86000	83000	110000	130000	153000	165000	173000	183000	221000	240000	235750	217825	215000	227500	250000	265000	345875
E05000433	83875	87500	115250	130000	158000	194000	222000	225000	247625	262400	253750	320000	338348	336500	350000	395000	420000	457500	464000	511250
E05000434	84000	87975	86000	97000	121250	150000	155000	187250	199500	207000	225000	250000	250000	272750	300000	290000	305000	307500	330000	412748
E05000435	74500	72500	84000	102500	134000	160000	161450	196600	180000	197000	200000	225000	250000	250000	250000	270000	250000	285000	331000	417000
E05000436	69950	86750	93495	105000	135500	177000	179975	200000	205000	219975	229000	249973	279998	270000	262000	292500	318750	315000	350000	395000
E05000437	62500	65000	71400	76000	81500	99950	115500	129000	159475	171000	180000	182000	200000	205000	180000	192000	205000	210000	210000	265000
E05000438	91000	92000	105750	120000	140000	157500	169998	205500	196188	219975	249250	250000	306250	285000	247000	320000	350000	322500	329950	385000
E05000439	65000	65500	73500	82975	100000	117750	138500	170000	180000	194250	200000	223000	232000	247000	240000	250000	250000	250000	280500	330000
E05000440	72000	73000	80000	90000	100000	126000	136000	163250	201500	210000	210000	233000	248250	241000	235000	249475	242000	247500	280000	332500
E05000441	67725	68000	74442	85000	93500	115000	138000	166000	180000	210000	210000	227500	270000	257500	241000	271250	280000	307000	350000	455000
E05000442	60000	59250	62500	69000	76500	95000	105000	127500	152000	163000	173000	173000	200000	205000	172750	187000	184250	183500	205000	242500
E05000443	61495	65000	64000	71500	80000	104500	125000	135000	150000	172000	170000	246000	200000	214875	206500	190500	188000	231000	250000	315000
