New Code	Owned: Owned outright	Owned: Owned with a mortgage or loan (inc shared)	Social rented	Private rented	Other	Year
E05000540	234	599	2551	1284	64	2011
E05000541	231	474	3433	836	44	2011
E05000542	408	1261	3169	2096	101	2011
E05000543	275	676	3717	808	80	2011
E05000544	438	1002	3336	1309	71	2011
E05000545	545	1299	2692	1073	65	2011
E05000546	200	1006	3257	952	64	2011
E05000547	863	1889	1441	1458	54	2011
E05000548	697	1530	2403	2261	115	2011
E05000549	455	1185	2722	1533	71	2011
E05000550	354	1085	2995	1247	46	2011
E05000551	688	1390	1934	1032	53	2011
E05000552	725	1686	1443	2117	77	2011
E05000553	670	1600	2647	1387	82	2011
E05000554	1345	1641	711	832	51	2011
E05000555	1267	1970	365	409	26	2011
E05000556	1071	1283	1470	239	31	2011
E05000557	1405	1646	435	813	37	2011
E05000558	1362	1815	294	700	26	2011
E05000559	1292	1620	378	258	24	2011
E05000560	1652	1619	99	508	36	2011
E05000561	1651	1790	145	401	27	2011
E05000562	612	1556	1862	541	24	2011
E05000563	1497	1874	146	381	28	2011
E05000564	883	1894	1182	1204	40	2011
E05000565	1335	1772	462	565	30	2011
E05000566	1281	1368	580	1595	37	2011
E05000567	1353	1861	181	1256	29	2011
E05000568	1133	1881	615	530	24	2011
E05000569	1188	1926	583	786	31	2011
E05000570	1294	1576	737	836	42	2011
E05000571	635	1794	1588	675	38	2011
E05000572	1446	2161	300	732	30	2011
E05009317	621	1277	3438	2119	83	2011
E05009318	547	1240	1787	2582	84	2011
E05009319	447	1263	2823	1997	65	2011
E05009320	637	1021	1952	1339	60	2011
E05009321	182	509	2024	934	49	2011
E05009322	132	403	1611	697	42	2011
E05009323	536	1221	1212	2834	92	2011
E05009324	573	1304	1421	2958	96	2011
E05009325	376	751	3028	1063	55	2011
E05009326	257	580	1266	896	37	2011
E05009327	395	893	2704	1591	62	2011
E05009328	255	551	1055	967	34	2011
E05009329	305	705	2061	841	54	2011
E05009330	818	1304	1198	1900	73	2011
E05009331	517	1052	3121	2072	72	2011
E05009332	317	829	1818	1230	64	2011
E05009333	440	800	1606	1812	55	2011
E05009334	329	757	2074	1299	61	2011
E05009335	468	891	2324	1622	51	2011
E05009336	497	935	1584	2212	62	2011
E05000590	668	1309	1412	1531	68	2011
E05000591	523	782	1745	1447	33	2011
E05000592	974	2035	796	1218	43	2011
E05000593	1620	1496	690	622	39	2011
E05000594	1476	1674	620	405	44	2011
E05000595	998	1250	590	1457	49	2011
E05000596	942	1461	475	2300	42	2011
E05000597	1120	1726	786	518	33	2011
E05000598	1300	1554	1116	509	40	2011
E05000599	863	1822	1056	1758	54	2011
E05000600	609	1487	1632	1066	70	2011
E05000601	774	1417	1464	1682	80	2011
E05000602	1349	1723	775	560	44	2011
E05000603	931	1641	1028	1942	55	2011
E05000604	691	1096	1795	1568	57	2011
E05000605	881	1351	745	1806	47	2011
E05000606	761	1413	1189	1455	46	2011
E05000607	1286	1645	771	573	44	2011
E05000608	787	1607	1064	1447	59	2011
E05000609	843	1494	1627	1238	57	2011
E05000610	1408	1974	686	2161	59	2011
E05000611	1010	1868	1036	2467	51	2011
E05000612	890	2277	1451	2020	55	2011
E05000613	1586	1786	789	2708	92	2011
E05000614	1085	2189	1019	2368	65	2011
E05000615	1203	2069	999	1621	61	2011
E05000616	1048	1716	1083	2184	69	2011
E05000617	709	1333	3177	1473	64	2011
E05000618	1337	1905	822	2132	82	2011
E05000619	1308	2012	849	2002	50	2011
E05000620	992	1783	2421	2602	92	2011
E05000621	798	971	2733	1369	67	2011
E05000622	1477	1921	1688	2547	112	2011
E05000623	1027	1813	1453	2073	52	2011
E05000624	1363	2497	1019	2024	52	2011
E05000625	1622	2063	495	2322	76	2011
E05000626	1095	1434	1085	2342	74	2011
E05000627	1327	2141	703	1373	46	2011
E05000628	1244	1780	1581	2021	72	2011
E05000629	1538	1705	1427	1508	65	2011
E05000630	1390	847	476	2311	184	2011
E05000631	1035	865	1121	2350	128	2011
E05000632	1237	817	484	3432	218	2011
E05000633	648	543	2272	1030	68	2011
E05000634	413	421	2633	1168	84	2011
E05000635	466	854	2358	1683	74	2011
E05000636	1282	865	619	3292	237	2011
E05000637	1333	480	150	1531	388	2011
E05000638	1196	939	711	3748	195	2011
E05000639	1067	891	912	1956	117	2011
E05000640	722	895	1098	1678	87	2011
E05000641	1111	648	535	2885	225	2011
E05000642	462	745	2848	1025	58	2011
E05000643	1442	820	1130	2309	217	2011
E05000644	923	498	1496	2165	261	2011
E05000645	688	526	1352	1964	78	2011
E05000646	968	741	1751	1475	146	2011
E05000647	983	776	1416	1735	115	2011
E05000648	469	747	2600	1435	105	2011
E05000649	857	562	1386	2777	318	2011
