E05000038,2009,150000
E05000038,2010,158000
E05000038,2011,153500
E05000038,2012,163000
E05000038,2013,170000
E05000038,2014,205500
E05000039,1995,57250
E05000039,1996,58250
E05000039,1997,60000
E05000039,1998,70000
E05000039,1999,65000
E05000039,2000,80000
E05000039,2001,95000
E05000039,2002,120000
E05000039,2003,140000
E05000039,2004,158000
E05000039,2005,162500
E05000039,2006,162000
E05000039,2007,179000
E05000039,2008,190000
E05000039,2009,180000
E05000039,2010,165500
E05000039,2011,167500
E05000039,2012,197000
E05000039,2013,185000
E05000039,2014,219000
E05000040,1995,56300
E05000040,1996,54400
E05000040,1997,56000
E05000040,1998,59725
E05000040,1999,65000
E05000040,2000,76000
E05000040,2001,89995
E05000040,2002,110000
E05000040,2003,138250
E05000040,2004,155000
E05000040,2005,161000
E05000040,2006,165000
E05000040,2007,180000
E05000040,2008,185000
E05000040,2009,157500
E05000040,2010,166750
E05000040,2011,184000
E05000040,2012,167000
E05000040,2013,178995
E05000040,2014,215000
E05000041,1995,55000
E05000041,1996,57000
E05000041,1997,64750
E05000041,1998,66625
E05000041,1999,76000
E05000041,2000,71950
E05000041,2001,73500
E05000041,2002,97998
E05000041,2003,119000
E05000041,2004,145000
E05000041,2005,156000
E05000041,2006,160000
E05000041,2007,156250
E05000041,2008,180000
E05000041,2009,155000
E05000041,2010,162000
E05000041,2011,156000
E05000041,2012,155000
E05000041,2013,182000
E05000041,2014,202500
E05000042,1995,60000
E05000042,1996,60750
E05000042,1997,65995
E05000042,1998,71000
E05000042,1999,78000
E05000042,2000,92995
E05000042,2001,110000
E05000042,2002,128500
E05000042,2003,159000
E05000042,2004,174998
E05000042,2005,180000
E05000042,2006,191500
E05000042,2007,205000
E05000042,2008,225000
E05000042,2009,175000
E05000042,2010,195000
E05000042,2011,189000
E05000042,2012,196000
E05000042,2013,205000
E05000042,2014,235000
E05000043,1995,89500
E05000043,1996,95250
E05000043,1997,113750
E05000043,1998,125000
E05000043,1999,140000
E05000043,2000,174000
E05000043,2001,194000
E05000043,2002,232475
E05000043,2003,250000
E05000043,2004,265000
E05000043,2005,280000
E05000043,2006,280000
E05000043,2007,330000
E05000043,2008,307000
E05000043,2009,310000
E05000043,2010,339500
E05000043,2011,343000
E05000043,2012,360000
E05000043,2013,380000
E05000043,2014,435000
E05000044,1995,64000
E05000044,1996,64000
E05000044,1997,74950
E05000044,1998,81000
E05000044,1999,93000
E05000044,2000,114375
E05000044,2001,126500
E05000044,2002,150000
E05000044,2003,178000
E05000044,2004,193458
E05000044,2005,211000
E05000044,2006,209950
E05000044,2007,225000
E05000044,2008,234475
E05000044,2009,192250
E05000044,2010,219975
E05000044,2011,230000
E05000044,2012,234000
E05000044,2013,245000
E05000044,2014,250000
E05000045,1995,98750
E05000045,1996,105000
E05000045,1997,137000
E05000045,1998,135000
E05000045,1999,152000
E05000045,2000,185000
E05000045,2001,152000
E05000045,2002,199500
E05000045,2003,250000
E05000045,2004,274750
E05000045,2005,250000
E05000045,2006,285000
E05000045,2007,290000
E05000045,2008,312500
E05000045,2009,361250
E05000045,2010,416500
E05000045,2011,387493
E05000045,2012,454500
E05000045,2013,465000
E05000045,2014,507500
E05000046,1995,68000
E05000046,1996,70000
E05000046,1997,72000
E05000046,1998,76000
E05000046,1999,89100
E05000046,2000,103000
E05000046,2001,119950
E05000046,2002,153000
E05000046,2003,169500
E05000046,2004,180000
E05000046,2005,200000
E05000046,2006,193000
E05000046,2007,230000
E05000046,2008,244950
E05000046,2009,226000
E05000046,2010,220000
E05000046,2011,242250
E05000046,2012,250000
E05000046,2013,258500
E05000046,2014,302500
E05000047,1995,88400
E05000047,1996,89995
E05000047,1997,101225
E05000047,1998,113995
E05000047,1999,135995
E05000047,2000,165000
E05000047,2001,160000
E05000047,2002,189225
E05000047,2003,223500
E05000047,2004,240000
E05000047,2005,240000
E05000047,2006,270000
E05000047,2007,276000
E05000047,2008,230000
E05000047,2009,250000
E05000047,2010,296000
E05000047,2011,290000
E05000047,2012,321500
E05000047,2013,335995
E05000047,2014,335000
E05000048,1995,91000
E05000048,1996,94000
E05000048,1997,91000
E05000048,1998,85000
E05000048,1999,114475
E05000048,2000,126675
E05000048,2001,165000
E05000048,2002,188000
E05000048,2003,217500
E05000048,2004,235000
E05000048,2005,226500
E05000048,2006,250000
E05000048,2007,271125
E05000048,2008,299000
E05000048,2009,268310
E05000048,2010,304500
E05000048,2011,305000
E05000048,2012,329975
E05000048,2013,340000
E05000048,2014,368000
E05000049,1995,86250
E05000049,1996,81000
E05000049,1997,99975
E05000049,1998,118250
E05000049,1999,124950
E05000049,2000,151475
E05000049,2001,176000
E05000049,2002,210000
E05000049,2003,212250
E05000049,2004,237000
E05000049,2005,250000
E05000049,2006,250000
E05000049,2007,290000
E05000049,2008,298000
E05000049,2009,296250
E05000049,2010,360500
E05000049,2011,337500
E05000049,2012,371000
E05000049,2013,370000
E05000049,2014,437500
E05000050,1995,120000
E05000050,1996,132250
E05000050,1997,130000
E05000050,1998,138000
E05000050,1999,153250
E05000050,2000,188725
E05000050,2001,195475
E05000050,2002,249950
E05000050,2003,285000
E05000050,2004,296000
E05000050,2005,280000
E05000050,2006,312000
E05000050,2007,386750
E05000050,2008,337500
E05000050,2009,365000
E05000050,2010,289000
E05000050,2011,300000
E05000050,2012,295000
E05000050,2013,380000
E05000050,2014,455000
E05000051,1995,121500
E05000051,1996,133000
E05000051,1997,137500
E05000051,1998,139500
E05000051,1999,175000
E05000051,2000,185250
E05000051,2001,225000
E05000051,2002,285000
E05000051,2003,269750
E05000051,2004,280000
E05000051,2005,282475
E05000051,2006,325000
E05000051,2007,375000
E05000051,2008,360000
E05000051,2009,377500
E05000051,2010,420000
E05000051,2011,385000
E05000051,2012,395000
E05000051,2013,498725
E05000051,2014,528000
E05000052,1995,164000
E05000052,1996,165000
E05000052,1997,170000
E05000052,1998,202000
E05000052,1999,220000
E05000052,2000,247000
E05000052,2001,300000
E05000052,2002,325000
E05000052,2003,280725
E05000052,2004,390000
E05000052,2005,410000
E05000052,2006,450000
E05000052,2007,523750
E05000052,2008,495000
E05000052,2009,602500
E05000052,2010,633000
E05000052,2011,575000
E05000052,2012,716250
E05000052,2013,696999
E05000052,2014,825000
E05000053,1995,112000
E05000053,1996,103500
E05000053,1997,140000
E05000053,1998,151500
E05000053,1999,175000
E05000053,2000,205000
E05000053,2001,224750
E05000053,2002,260000
E05000053,2003,310000
E05000053,2004,325000
E05000053,2005,305000
E05000053,2006,350000
E05000053,2007,391500
E05000053,2008,396500
E05000053,2009,400000
E05000053,2010,390000
E05000053,2011,429250
E05000053,2012,450000
E05000053,2013,477475
E05000053,2014,555250
E05000054,1995,88225
E05000054,1996,89000
E05000054,1997,105000
E05000054,1998,126475
E05000054,1999,132500
E05000054,2000,157250
E05000054,2001,180000
E05000054,2002,200000
E05000054,2003,238000
E05000054,2004,249950
E05000054,2005,274250
E05000054,2006,278750
E05000054,2007,300000
E05000054,2008,290000
E05000054,2009,290000
E05000054,2010,328000
E05000054,2011,319975
E05000054,2012,350000
E05000054,2013,349975
E05000054,2014,397250
E05000055,1995,80000
E05000055,1996,83500
E05000055,1997,96000
E05000055,1998,110000
E05000055,1999,132000
E05000055,2000,150000
E05000055,2001,171250
E05000055,2002,192600
E05000055,2003,230000
E05000055,2004,240000
E05000055,2005,249500
E05000055,2006,250000
E05000055,2007,250000
E05000055,2008,280500
E05000055,2009,290500
E05000055,2010,287250
E05000055,2011,325000
E05000055,2012,335000
E05000055,2013,340000
E05000055,2014,350000
E05000056,1995,95000
E05000056,1996,99950
E05000056,1997,109250
E05000056,1998,113500
E05000056,1999,128000
