E05000105	13200	12918	15700	15827	15893	15972	16004	16050	16250	16450
E05000106	13900	14370	15200	15343	15389	15436	15466	15550	15850	16100
E05000107	10150	9766	10000	10165	10208	10254	10303	10400	10650	10900
E05000108	14150	14548	15200	15757	16012	16259	16345	16500	16850	17200
E05000109	14500	15497	16900	17818	18209	18596	18782	19150	20800	21950
E05000110	14100	14404	14600	14737	14763	14796	14881	15050	15450	15800
E05000111	14750	15004	14900	15187	15284	15384	15481	15650	16050	16400
E05000112	15750	15590	15650	15863	15937	16026	16083	16200	16350	16450
E05000113	14250	14403	15450	15736	15843	15936	16110	16400	16750	16800
E05000114	14650	14839	15550	15722	15778	15825	15921	16100	16600	17100
E05000115	16100	16203	16850	17040	17091	17140	17176	17250	17500	17700
E05000116	11250	11634	12350	12696	12840	12973	13028	13150	13400	13750
E05000117	4700	4608	5150	5249	5283	5313	5484	5800	6650	7500
E05000118	14200	14355	14700	14825	14832	14859	14874	14950	15150	15450
E05000119	14950	15436	16000	16188	16228	16268	16328	16450	16800	17150
E05000120	14750	15651	16000	16174	16206	16238	16299	16450	16850	17150
E05000121	10100	10120	10050	10196	10242	10286	10306	10350	10450	10550
E05000122	15100	15064	15400	15596	15634	15673	15681	15700	15850	16100
E05000123	16650	17034	17450	17704	17804	17916	17946	18050	18350	18700
E05000124	13650	13453	13700	13892	13929	13973	13984	14000	14100	14250
E05000125	14400	14832	15200	15429	15501	15581	15655	15800	16050	16200
E05000126	9300	9389	9900	10029	10079	10126	10131	10150	10200	10300
E05000127	14250	14763	14950	15165	15197	15226	15223	15250	15400	15650
E05000128	11950	12163	12700	12761	12776	12810	12822	12850	13050	13350
E05000129	9400	10257	10800	11443	11571	11680	11771	11950	12200	12650
E05000130	11850	12311	12650	12954	13043	13119	13195	13350	13700	14200
E05000131	10750	11667	11900	12312	12395	12465	12493	12550	12800	12950
E05000132	10750	11211	11750	11994	12060	12114	12153	12250	12450	12650
E05000133	11950	10724	11950	12124	12164	12228	12273	12400	12750	13050
E05000134	10700	10600	11250	11421	11450	11490	11598	11850	12150	12250
E05000135	10900	10675	11300	11318	11342	11379	11448	11600	12100	12600
E05000136	11500	11680	12350	12613	12676	12730	12742	12750	12950	13100
E05000137	10700	11146	10950	11085	11122	11161	11290	11550	12250	12950
E05000138	10900	12334	13000	13511	13611	13702	13885	14250	15000	15400
E05000139	11750	12767	13400	13754	13821	13874	13909	14000	14250	14500
E05000140	10750	11568	12050	12248	12308	12365	12418	12550	12750	12900
E05000141	11650	12025	11750	12319	12429	12534	12562	12600	12850	13050
E05000142	12250	12978	13500	14274	14497	14701	14803	15000	15350	18300
E05000143	12750	13026	13800	15115	15662	16198	16846	18100	19900	20700
E05000144	12000	12229	12900	13073	13127	13190	13316	13600	14050	14300
E05000145	10400	11671	12050	12372	12463	12551	12699	13050	14050	14750
E09000001	7350	7254	7400	7993	8043	8102	8285	8850	9950	10550
E05000146	15700	15737	16950	17362	17564	17751	18107	18750	20050	20600
E05000147	13700	13742	14800	14976	15055	15127	15184	15250	15450	15700
E05000148	16350	16038	16250	16391	16481	16576	16646	16700	16800	16800
E05000149	15100	16058	18700	19370	19705	20044	20390	21000	22300	23050
E05000150	12350	12268	12300	12506	12600	12686	12840	13100	13700	14350
E05000151	13400	13075	13500	13866	14007	14154	14290	14500	16050	17150
E05000152	14750	14839	15850	16022	16115	16222	16380	16650	16950	17050
E05000153	14400	14803	16650	19213	20484	21758	22442	23750	28750	33050
E05000154	11300	11117	11500	11690	11771	11869	11918	12000	12050	12200
E05000155	13250	12950	13250	13474	13538	13604	13765	14050	14750	15450
E05000156	13750	14407	15050	15340	15489	15637	15788	16050	16550	17150
E05000157	10500	10200	10850	11057	11167	11264	11462	11800	12250	12400
E05000158	14050	14782	16550	16851	16985	17103	17187	17300	17500	17650
E05000159	13200	13510	14650	15116	15341	15564	15702	15950	16750	17400
E05000160	12300	12481	12850	13039	13104	13178	13310	13550	14050	14550
E05000161	14850	15702	18150	18326	18443	18563	18713	18900	19150	19250
E05000162	12050	11734	11750	12034	12124	12207	12331	12500	13000	13500
E05000163	14150	13799	14350	14535	14602	14676	14729	14800	15000	15150
E05000164	14850	15288	16600	16743	16833	16913	17006	17150	17350	17400
E05000165	15000	15549	16600	16722	16809	16896	16962	17050	17150	17300
E05000166	14400	14675	16150	16394	16503	16617	16727	16900	17100	17250
E05000167	13600	14789	17150	17379	17529	17653	17788	18000	18400	18600
E05000168	16750	16910	17550	17753	17878	17993	18092	18250	18500	18800
E05000169	15950	15996	16800	16945	17029	17117	17182	17300	17400	17500
E05000170	13800	14231	15500	15646	15754	15840	15990	16250	17100	17350
E05000171	14500	14595	14600	14689	14755	14834	14914	15100	15450	15500
E05000172	13400	13349	13950	14030	14087	14133	14155	14200	14450	14650
E05000173	13050	13195	14100	14830	15200	15570	16183	17400	19450	19900
E05000174	13200	13591	14050	14135	14179	14213	14241	14300	14500	14700
E05000175	14800	16056	18750	19272	19529	19786	20018	20500	21400	21700
E05000176	12700	13386	14600	14804	14942	15100	15203	15400	16000	16300
E05000177	13600	14662	17700	17657	17707	17747	17804	17950	18300	18500
E05000178	12750	13554	14400	14430	14458	14495	14683	15050	16000	16400
E05000179	14400	14972	15650	15677	15712	15735	15785	15900	16200	16450
E05000180	13350	13567	14300	14248	14282	14311	14332	14400	14550	14600
E05000181	13050	13020	13950	13989	14036	14079	14114	14150	14300	14300
E05000182	12850	12520	13550	13615	13652	13684	13710	13750	13850	13850
E05000183	13400	13767	14750	14810	14850	14882	14937	15050	15350	15450
E05000184	13150	13866	15250	15242	15280	15326	15357	15450	15650	15800
E05000185	13750	14343	15200	15134	15169	15212	15245	15350	15600	15750
E05000186	12950	13170	14100	14136	14189	14219	14916	16250	19200	20500
E05000187	13750	14052	15400	15410	15430	15464	15504	15600	15900	16100
E05000188	13700	13810	14900	15540	15857	16194	16191	16250	16700	17250
E05000189	13400	12364	13500	14771	15476	16186	16713	17800	20950	25300
E05000190	13200	12545	14600	14831	15030	15209	15293	15500	16400	17500
E05000191	12850	13576	13550	13517	13552	13583	13656	13800	13950	14150
E05000192	13100	13138	13400	13426	13480	13524	13557	13650	14050	14350
E05000193	11900	12420	14100	14397	14479	14566	14598	14650	14700	14750
E05000194	13600	13411	14000	14122	14128	14151	14165	14200	14300	14450
E05000195	12750	12684	13850	13959	13980	14002	14208	14650	15500	16150
E05000196	12700	13198	13850	14082	14097	14111	14389	14950	15800	16250
E05000197	15400	15592	18050	18221	18281	18340	18363	18400	18550	18750
E05000198	14400	14483	16100	16292	16308	16344	16380	16450	16650	16900
E05000199	12950	14681	16550	16820	16925	17014	17057	17150	17300	17450
