E05000133	7809	7008	7809	7923	8103	8332	8528
E05000134	15455	15311	16250	16497	17116	17550	17694
E05000135	4450	4358	4613	4621	4736	4940	5144
E05000136	15715	15961	16877	17236	17424	17697	17902
E05000137	3303	3441	3380	3422	3566	3782	3998
E05000138	9122	10322	10879	11307	11925	12553	12888
E05000139	11419	12408	13023	13367	13606	13849	14092
E05000140	15689	16883	17587	17876	18316	18608	18827
E05000141	19055	19669	19219	20149	20609	21018	21345
E05000142	9077	9616	10003	10577	11115	11374	13560
E05000143	9114	9312	9865	10805	12939	14226	14797
E05000144	9549	9731	10265	10403	10822	11180	11379
E05000145	11721	13154	13581	13944	14708	15835	16624
E09000001	2531	2498	2548	2752	3048	3426	3633
E05000146	9886	9909	10673	10933	11807	12625	12972
E05000147	5052	5068	5458	5523	5624	5697	5790
E05000148	11343	11126	11273	11371	11585	11655	11655
E05000149	5673	6032	7025	7277	7889	8377	8659
E05000150	1595	1584	1588	1615	1692	1769	1853
E05000151	2685	2619	2705	2778	2905	3215	3436
E05000152	4182	4207	4494	4543	4721	4806	4834
E05000153	3817	3924	4414	5093	6296	7622	8761
E05000154	7602	7479	7736	7864	8073	8106	8207
E05000155	1521	1486	1521	1546	1612	1693	1773
E05000156	2130	2232	2331	2376	2486	2564	2656
E05000157	4344	4220	4489	4574	4882	5068	5130
E05000158	5579	5870	6572	6692	6870	6949	7009
E05000159	3162	3236	3509	3620	3820	4012	4167
E05000160	1938	1967	2025	2055	2135	2214	2293
E05000161	6533	6908	7985	8062	8315	8425	8469
E05000162	1883	1834	1836	1881	1954	2032	2110
E05000163	5044	4919	5115	5181	5276	5347	5400
E05000164	6244	6428	6980	7040	7211	7296	7317
E05000165	8923	9249	9875	9947	10142	10202	10291
E05000166	5489	5594	6156	6249	6442	6519	6576
E05000167	3728	4054	4702	4765	4935	5044	5099
E05000168	8497	8579	8903	9006	9258	9385	9537
E05000169	7362	7383	7754	7821	7985	8031	8078
E05000170	7776	8019	8734	8816	9157	9636	9777
E05000171	6506	6549	6551	6591	6776	6933	6955
E05000172	5936	5914	6180	6215	6291	6401	6490
E05000173	7028	7106	7594	7987	9371	10475	10718
E05000174	6165	6348	6562	6602	6679	6772	6866
E05000175	3461	3755	4385	4507	4794	5005	5075
E05000176	6351	6694	7301	7403	7701	8001	8152
E05000177	5404	5826	7033	7016	7132	7271	7351
E05000178	3767	4004	4254	4263	4446	4727	4845
E05000179	4394	4568	4775	4784	4852	4943	5019
E05000180	6042	6141	6472	6449	6518	6586	6608
E05000181	8464	8445	9048	9073	9177	9275	9275
E05000182	8344	8129	8798	8840	8928	8993	8993
E05000183	4114	4226	4528	4547	4620	4712	4743
E05000184	4770	5030	5532	5529	5605	5677	5732
E05000185	3878	4046	4287	4269	4330	4400	4442
E05000186	3411	3469	3714	3724	4281	5058	5400
E05000187	4083	4173	4573	4576	4632	4721	4781
